path,split,class,class_es,size_bytes
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/e863a52c-337f-4534-9510-320980cc4303___GCREC_Bact.Sp 6159.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13831
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/b433dcf3-c57d-4f5e-9116-5aaeecbaef01___GCREC_Bact.Sp 3715.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,16602
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/c693b071-ccf9-40e9-97f9-341c2da3c5b1___GCREC_Bact.Sp 3751.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14795
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/a5918d40-3a3e-4dd9-a087-c0737bbebdc3___GCREC_Bact.Sp 3024.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11977
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ca9d4e23-cd51-4912-b08e-0507546755b1___UF.GRC_BS_Lab Leaf 8802.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12569
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/0ab54691-ba9f-4c1f-a69b-ec0501df4401___GCREC_Bact.Sp 3170.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12415
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/fc6a6a03-757b-4549-8c2e-194141456f60___GCREC_Bact.Sp 6252.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,16845
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/bff7702d-fae9-4865-8256-c82a7bbcdeb1___GCREC_Bact.Sp 3750.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12170
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/0ff228a7-60f4-47f0-b1a3-96969a63105f___GCREC_Bact.Sp 6056.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12950
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ce5152ad-92fb-4187-80f6-eef2524bf131___GCREC_Bact.Sp 3432.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14999
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/1ee0cf88-307d-4c0c-af30-6031c2cbd256___GCREC_Bact.Sp 5840.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12230
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/a4589640-8a5e-4714-8d00-13f448b437f2___UF.GRC_BS_Lab Leaf 0633.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12221
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/d0513b6e-e8a2-44b5-ace7-bcec9c694d4c___UF.GRC_BS_Lab Leaf 8753.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,10719
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/d0246f26-0f37-4dd0-b6fa-40f03fedaa39___UF.GRC_BS_Lab Leaf 0424.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11363
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/de0200a0-173c-401f-827b-2a12d639a744___GCREC_Bact.Sp 3072.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12221
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/fae0cb2c-797d-49d8-820a-52ccd350f8fd___UF.GRC_BS_Lab Leaf 0394.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,9653
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/1e0582c9-3b55-4aaf-b63b-f223c13eac86___GCREC_Bact.Sp 5571.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11708
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/c95ec538-9ce6-4ed7-9ba8-224debe0ee64___UF.GRC_BS_Lab Leaf 0891.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13686
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/411860f2-2474-462d-83ea-ab11e3f5afe6___GCREC_Bact.Sp 3373.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12901
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/817211b7-a7bf-49a9-bdb8-dc78cba82ab9___GCREC_Bact.Sp 3799.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14687
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/eabeca07-9aa1-431a-92eb-be617775811d___UF.GRC_BS_Lab Leaf 0460.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12418
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/e1ee0df9-7ad3-47f4-ba57-0e243101a657___GCREC_Bact.Sp 3702.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13009
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/bf0ce672-d1b8-49a7-a41e-5026715930e9___GCREC_Bact.Sp 6040.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14616
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ed69ffba-2381-4d89-9c08-503b45779f1b___UF.GRC_BS_Lab Leaf 0302.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11002
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/0f57cc30-af42-4543-9a67-b27eda784325___UF.GRC_BS_Lab Leaf 9260.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11026
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/e16cf895-d49f-4798-af76-1343bdd0fe56___GCREC_Bact.Sp 3025.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,10207
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ae43f1d0-3ae6-4634-938c-0b003b193416___GCREC_Bact.Sp 6105.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13221
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/0c09c121-e945-4b7e-acbf-dff4e0d01acb___GCREC_Bact.Sp 3379.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13617
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/f44c58b0-4d48-4b8b-b812-e472d2737998___GCREC_Bact.Sp 5553.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13171
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/d4887ae0-982c-46a0-9b3c-5b6a331ebd0f___GCREC_Bact.Sp 3359.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13514
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/a37c30d3-2d4a-49f0-af5b-5ddc9c37baf8___GCREC_Bact.Sp 6038.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14779
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/37592d17-06d6-492a-a469-3726396ad71b___GCREC_Bact.Sp 5560.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13199
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/a4106180-8662-4e07-b7dd-3a80c7fd08dd___GCREC_Bact.Sp 6230.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13571
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ac444acf-1d85-4928-9f73-947497fb6b9f___GCREC_Bact.Sp 5762.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13049
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/d20d7a01-ca5b-41ed-ade2-e62caf0ef543___GCREC_Bact.Sp 6003.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13009
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/a601d086-0999-4318-ac04-a4bbc7b64e5e___GCREC_Bact.Sp 2975.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12713
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/c32b4ac0-1b2c-4f26-9cb7-ba400bc2614e___GCREC_Bact.Sp 3385.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14376
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/a302713e-7881-418b-99af-7e4cae814f79___GCREC_Bact.Sp 3536.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,16236
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/e928ca07-1757-4734-a146-b18176167cf9___GCREC_Bact.Sp 3709.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,15274
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ed618153-da70-475f-be98-cc2b9c28214b___GCREC_Bact.Sp 6211.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13445
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/db5044bc-64df-4f7c-a591-5b79b9318805___GCREC_Bact.Sp 5546.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12489
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/b5f208b2-bfa5-4542-bbd3-265519820575___GCREC_Bact.Sp 6127.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11696
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/d9abd611-5a0a-4d54-8c73-8df2c7f909d2___GCREC_Bact.Sp 5815.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13439
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/da934beb-3546-440a-83a8-016d9d480824___GCREC_Bact.Sp 3464.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11726
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/b4181c58-367b-4289-a1f1-7d0ec04ebf58___GCREC_Bact.Sp 3555.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,10996
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/face0e7f-6173-456e-9ee5-973aedb41c3b___GCREC_Bact.Sp 3493.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13486
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/cdd6b4c8-6be0-4cc8-81a7-4e0c5ba16fed___GCREC_Bact.Sp 5982.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14722
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/f2ea99a2-3e21-45ff-adf0-b7cfdd955d68___GCREC_Bact.Sp 5959.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12800
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/db6177ef-cf23-402a-ac95-f8c136c6385d___GCREC_Bact.Sp 3135.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12882
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/bea776af-8c63-4376-a7f2-7cbd0e15e743___GCREC_Bact.Sp 3631.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13063
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/dc865b07-0701-4ddd-be52-cc75f80d0ada___UF.GRC_BS_Lab Leaf 0683.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11300
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/dbec23bb-922a-49cd-b222-825ee95edcee___GCREC_Bact.Sp 3834.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,16443
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/71206367-de88-4a81-a1e8-c11b27c4e8de___UF.GRC_BS_Lab Leaf 9272.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,10336
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/c515ab18-07a3-4bdd-a5b6-140d65a185c4___GCREC_Bact.Sp 5674.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13415
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ce71eb1e-cf9d-465b-adc2-15eb07c9e687___GCREC_Bact.Sp 3394.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13543
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/f2be2ee6-efba-4854-89b1-32eb0e7e6974___GCREC_Bact.Sp 5993.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13727
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/1eca836c-208e-40a8-a69c-fb7232d92368___GCREC_Bact.Sp 6110.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14422
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ae471cad-5e5b-4325-a831-bdfe5c005cab___GCREC_Bact.Sp 6323.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13918
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/81349fa9-f5ca-449c-8f10-47788ed939a4___GCREC_Bact.Sp 6153.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13408
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/01d9fc8d-5083-468d-a583-885f33517cdd___GCREC_Bact.Sp 3422.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,9836
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/f0765e3f-e21f-4b0f-ae02-0ac9de9cfb0e___GCREC_Bact.Sp 3825.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,10780
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/86501b42-94c0-4f0c-98de-f6a0364a5bf2___GCREC_Bact.Sp 6220.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,15726
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/1b3ccbf3-c1e1-476e-b34a-6af0a6fbb349___GCREC_Bact.Sp 3735.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12987
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/662555e4-c996-4945-8294-6e9dab37a80a___GCREC_Bact.Sp 5772.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12427
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/f58a3d12-29e7-4f43-a189-fa80df8f8e72___GCREC_Bact.Sp 5691.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12702
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/abf9d7f0-be8e-4294-bf19-d60270e3a50d___GCREC_Bact.Sp 5573.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11905
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/a2e2a626-aafb-4383-8fa8-cc4d2071348a___GCREC_Bact.Sp 3125.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12144
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/40889410-0558-4ac6-a92c-7b715a603329___GCREC_Bact.Sp 3847.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13806
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/443242bf-ad63-440d-89bd-cb11c2fc1e51___UF.GRC_BS_Lab Leaf 0874.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14973
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/cd12526b-4a85-4329-95b0-63ed38fe9cc0___GCREC_Bact.Sp 5746.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14225
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/1a83cb1d-6e47-4caf-931f-61ecad37dca4___GCREC_Bact.Sp 6167.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13721
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/eed063ad-2337-413d-95be-3598f7a15942___GCREC_Bact.Sp 5663.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13051
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/da0ffa44-de62-4314-acb2-59218f5deeb5___GCREC_Bact.Sp 6010.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12452
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/0ac8c80f-6d67-46ee-b662-8265d9df9183___GCREC_Bact.Sp 6115.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12736
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/f14581e5-cc67-403d-a4f3-7f0be31b4899___GCREC_Bact.Sp 3497.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12439
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/1eb09166-61e7-4816-9a48-4d7afaa25a86___GCREC_Bact.Sp 3310.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11499
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/bc54f201-4a3b-446f-af60-ea26285893c8___UF.GRC_BS_Lab Leaf 8951.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,9375
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/b54854bf-7cc6-4ee4-8189-122c26e75122___GCREC_Bact.Sp 5912.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12530
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/e98d37d3-7029-4de3-bdd9-955904454850___GCREC_Bact.Sp 2993.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12112
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/fc48610a-675f-4fdf-998d-5d877c909550___GCREC_Bact.Sp 2959.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14506
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/a3df33d5-b1e6-49f8-93c4-013e47b5acc3___GCREC_Bact.Sp 3044.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13531
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/f1cc12b3-3116-4b31-81fc-6383303f84ae___UF.GRC_BS_Lab Leaf 0352.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,8828
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/a3f46db1-a45c-4afa-9c80-86b4169459b9___GCREC_Bact.Sp 5754.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11792
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/e2941eab-3c1c-43a2-aa6d-5f3926da0568___GCREC_Bact.Sp 3495.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,10177
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/221699b8-60cf-49fb-a5a6-b02e3770008d___GCREC_Bact.Sp 6135.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14916
