path,split,class,class_es,size_bytes,sharpness,mean_hue,mean_saturation
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/a5742cd1-e1a5-4967-a136-c9a2db864fe3___UF.GRC_BS_Lab Leaf 8982.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11051,300.1780104553327,34.348541259765625,82.33932495117188
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/e8fa0ef6-3af0-4cb1-b22b-0fe913ec014a___UF.GRC_BS_Lab Leaf 0277.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,9095,218.3175647109747,59.87290954589844,36.7427978515625
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/c809df76-1ae4-4543-9a2e-ed079ae737df___UF.GRC_BS_Lab Leaf 9231.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11632,402.4562057098374,52.84254455566406,74.07699584960938
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/fa3f0b33-f0a0-4625-b7c9-135bea953d91___GCREC_Bact.Sp 6028.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11692,598.0777005886193,62.399169921875,51.78794860839844
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/bced2a31-d2e8-4dff-9cae-05646085abe5___GCREC_Bact.Sp 5710.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13068,1121.868887721561,34.9560546875,58.333984375
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ee6fafa1-2ab6-43c1-83fe-082b265e64f5___GCREC_Bact.Sp 2964.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11053,479.39097712095827,100.57034301757812,48.5885009765625
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/faabf678-fe6e-48a5-b864-57f83ac33aa2___GCREC_Bact.Sp 3187.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,15418,1896.9072465130594,102.85333251953125,53.72186279296875
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/e82d7b9f-9e5a-4d2c-9094-4b3961a062bd___GCREC_Bact.Sp 2976.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12475,947.8294914327562,90.98329162597656,43.797332763671875
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/0cc3364e-3f2a-42b2-aefe-5af03dad2966___GCREC_Bact.Sp 5580.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11676,568.690522964811,34.57122802734375,58.95744323730469
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/bac40427-ce12-4369-8866-9e48e2f982da___GCREC_Bact.Sp 6092.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,10609,364.8276862790808,81.97557067871094,51.17231750488281
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/c3fbdba4-a285-463b-a3fd-26d0d4a4d936___GCREC_Bact.Sp 3677.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14669,1721.7306685112417,88.94035339355469,65.78929138183594
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ef588b6e-ce90-4648-b1a4-990dc7dca22d___UF.GRC_BS_Lab Leaf 9288.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,9118,167.32546057458967,76.15737915039062,42.64375305175781
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/c882b8ca-8b93-44c2-812b-48e811268cc4___GCREC_Bact.Sp 3797.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,15641,1684.9880325458944,46.6954345703125,108.60145568847656
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/dbabca53-fd46-46e9-91c0-64232aac8c25___GCREC_Bact.Sp 3816.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,10748,549.6892230582889,50.12591552734375,66.94320678710938
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/b16f21dc-39eb-45b5-a588-da778fa9ac44___GCREC_Bact.Sp 6351.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13816,1128.5007659883704,79.56381225585938,53.431182861328125
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/db498ce2-43f3-46e8-a5ab-0af97ba95b3b___GCREC_Bact.Sp 6209.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14099,1229.6795630806591,55.605804443359375,81.22309875488281
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/a1fcf5e9-e7e3-4c4f-8e7b-416f385fa8f9___GCREC_Bact.Sp 3791.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13406,959.5378195606172,70.47962951660156,94.62867736816406
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/40860ca0-2ec2-43be-817d-ef19ae1c10af___GCREC_Bact.Sp 6097.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13886,1442.9354557981715,81.51425170898438,51.82136535644531
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/f88ed2e0-d8ed-475e-b96a-09b22cf56684___GCREC_Bact.Sp 3357.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14734,1446.3268489257898,79.94989013671875,69.78797912597656
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/cc10d1bc-301a-4f99-85cb-94c73acfbeea___GCREC_Bact.Sp 3397.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14916,1671.683219400933,105.31216430664062,45.28547668457031
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/93330085-955f-4498-8159-77af45f02ea5___GCREC_Bact.Sp 5735.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12563,775.4796480366495,53.73469543457031,55.663909912109375
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ad6dbb38-c44c-40c9-a6d8-8fc1d928e5de___GCREC_Bact.Sp 3775.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,9248,168.58947686012834,28.029144287109375,81.83268737792969
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/b0a74f61-0012-4b6c-b528-bbce1b79c588___GCREC_Bact.Sp 3805.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14010,1395.115112423664,39.95545959472656,66.24075317382812
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/d903df67-fe54-4892-be62-1db1a8bbe6d2___GCREC_Bact.Sp 5942.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11170,586.0800048911478,62.691497802734375,62.09794616699219
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/e863a52c-337f-4534-9510-320980cc4303___GCREC_Bact.Sp 6159.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13831,1046.3949290493038,76.47605895996094,53.490386962890625
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/b433dcf3-c57d-4f5e-9116-5aaeecbaef01___GCREC_Bact.Sp 3715.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,16602,2763.760526975384,92.69999694824219,63.292022705078125
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/c693b071-ccf9-40e9-97f9-341c2da3c5b1___GCREC_Bact.Sp 3751.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14795,1661.9848318686709,72.75833129882812,68.53744506835938
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/a5918d40-3a3e-4dd9-a087-c0737bbebdc3___GCREC_Bact.Sp 3024.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11977,880.1088983414229,108.96734619140625,44.78688049316406
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ca9d4e23-cd51-4912-b08e-0507546755b1___UF.GRC_BS_Lab Leaf 8802.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12569,655.3896102076396,51.42280578613281,79.29585266113281
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/0ab54691-ba9f-4c1f-a69b-ec0501df4401___GCREC_Bact.Sp 3170.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12415,823.7506994605064,105.69136047363281,52.01788330078125
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/fc6a6a03-757b-4549-8c2e-194141456f60___GCREC_Bact.Sp 6252.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,16845,2980.367845549248,55.72151184082031,55.92518615722656
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/bff7702d-fae9-4865-8256-c82a7bbcdeb1___GCREC_Bact.Sp 3750.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12170,782.6216583249625,71.47488403320312,65.89700317382812
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/0ff228a7-60f4-47f0-b1a3-96969a63105f___GCREC_Bact.Sp 6056.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12950,855.8131922148168,70.68309020996094,53.74407958984375
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ce5152ad-92fb-4187-80f6-eef2524bf131___GCREC_Bact.Sp 3432.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14999,1684.3447448813822,91.98526000976562,59.09149169921875
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/1ee0cf88-307d-4c0c-af30-6031c2cbd256___GCREC_Bact.Sp 5840.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12230,918.8613581648096,40.67474365234375,51.30633544921875
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/a4589640-8a5e-4714-8d00-13f448b437f2___UF.GRC_BS_Lab Leaf 0633.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12221,849.1506469452288,39.79632568359375,56.644683837890625
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/d0513b6e-e8a2-44b5-ace7-bcec9c694d4c___UF.GRC_BS_Lab Leaf 8753.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,10719,252.68765237834305,55.639617919921875,86.05221557617188
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/d0246f26-0f37-4dd0-b6fa-40f03fedaa39___UF.GRC_BS_Lab Leaf 0424.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11363,728.6882765160408,68.932861328125,42.06962585449219
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/de0200a0-173c-401f-827b-2a12d639a744___GCREC_Bact.Sp 3072.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12221,808.2053003569599,110.0340576171875,48.78056335449219
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/fae0cb2c-797d-49d8-820a-52ccd350f8fd___UF.GRC_BS_Lab Leaf 0394.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,9653,366.41731793782674,69.94549560546875,33.31724548339844
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/1e0582c9-3b55-4aaf-b63b-f223c13eac86___GCREC_Bact.Sp 5571.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11708,646.6155605679378,49.755401611328125,58.082305908203125
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/c95ec538-9ce6-4ed7-9ba8-224debe0ee64___UF.GRC_BS_Lab Leaf 0891.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13686,1162.1841715341434,44.30247497558594,83.99252319335938
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/411860f2-2474-462d-83ea-ab11e3f5afe6___GCREC_Bact.Sp 3373.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12901,985.9016116708517,100.567138671875,44.90235900878906
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/817211b7-a7bf-49a9-bdb8-dc78cba82ab9___GCREC_Bact.Sp 3799.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14687,1709.3780429949984,49.06483459472656,80.17106628417969
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/eabeca07-9aa1-431a-92eb-be617775811d___UF.GRC_BS_Lab Leaf 0460.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12418,772.224195166491,59.533935546875,48.2291259765625
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/e1ee0df9-7ad3-47f4-ba57-0e243101a657___GCREC_Bact.Sp 3702.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13009,917.0009630674031,106.96900939941406,52.07456970214844
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/bf0ce672-d1b8-49a7-a41e-5026715930e9___GCREC_Bact.Sp 6040.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14616,1620.048050530022,62.97138977050781,58.172088623046875
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ed69ffba-2381-4d89-9c08-503b45779f1b___UF.GRC_BS_Lab Leaf 0302.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11002,483.9448397671804,77.88572692871094,57.454559326171875
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/0f57cc30-af42-4543-9a67-b27eda784325___UF.GRC_BS_Lab Leaf 9260.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11026,432.7521666549146,42.53680419921875,88.76470947265625
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/e16cf895-d49f-4798-af76-1343bdd0fe56___GCREC_Bact.Sp 3025.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,10207,397.6246788089629,109.76139831542969,40.22605895996094
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ae43f1d0-3ae6-4634-938c-0b003b193416___GCREC_Bact.Sp 6105.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13221,1124.5981705912855,79.92791748046875,55.34031677246094
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/0c09c121-e945-4b7e-acbf-dff4e0d01acb___GCREC_Bact.Sp 3379.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13617,1051.660155504709,75.66584777832031,67.15589904785156
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/f44c58b0-4d48-4b8b-b812-e472d2737998___GCREC_Bact.Sp 5553.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13171,1126.9895980821457,40.68006896972656,60.47174072265625
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/d4887ae0-982c-46a0-9b3c-5b6a331ebd0f___GCREC_Bact.Sp 3359.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13514,1115.8829487839248,95.52568054199219,65.66246032714844
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/a37c30d3-2d4a-49f0-af5b-5ddc9c37baf8___GCREC_Bact.Sp 6038.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14779,1438.9434551438317,50.497100830078125,81.52372741699219
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/37592d17-06d6-492a-a469-3726396ad71b___GCREC_Bact.Sp 5560.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13199,1132.979937016964,41.22886657714844,52.58099365234375
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/a4106180-8662-4e07-b7dd-3a80c7fd08dd___GCREC_Bact.Sp 6230.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13571,1322.0156648010015,70.86018371582031,48.40948486328125
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ac444acf-1d85-4928-9f73-947497fb6b9f___GCREC_Bact.Sp 5762.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13049,989.5621853237972,34.91206359863281,64.10188293457031
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/d20d7a01-ca5b-41ed-ade2-e62caf0ef543___GCREC_Bact.Sp 6003.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13009,1159.7775261253119,66.16578674316406,48.221038818359375
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/a601d086-0999-4318-ac04-a4bbc7b64e5e___GCREC_Bact.Sp 2975.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12713,1000.4633152035531,106.70930480957031,43.08152770996094
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/c32b4ac0-1b2c-4f26-9cb7-ba400bc2614e___GCREC_Bact.Sp 3385.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14376,1329.5954340547323,89.83381652832031,53.35261535644531
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/a302713e-7881-418b-99af-7e4cae814f79___GCREC_Bact.Sp 3536.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,16236,1968.6257755607367,71.60372924804688,63.4078369140625
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/e928ca07-1757-4734-a146-b18176167cf9___GCREC_Bact.Sp 3709.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,15274,2113.8833643419202,102.31472778320312,55.224151611328125
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ed618153-da70-475f-be98-cc2b9c28214b___GCREC_Bact.Sp 6211.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13445,922.0810321830213,65.08602905273438,87.26217651367188
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/db5044bc-64df-4f7c-a591-5b79b9318805___GCREC_Bact.Sp 5546.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12489,1033.2583771906793,45.46171569824219,55.17179870605469
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/b5f208b2-bfa5-4542-bbd3-265519820575___GCREC_Bact.Sp 6127.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11696,555.0121130561456,75.55158996582031,54.66679382324219
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/d9abd611-5a0a-4d54-8c73-8df2c7f909d2___GCREC_Bact.Sp 5815.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13439,1072.3016695445403,41.42222595214844,63.88468933105469
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/da934beb-3546-440a-83a8-016d9d480824___GCREC_Bact.Sp 3464.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11726,634.5968902846798,100.99397277832031,59.035064697265625
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/b4181c58-367b-4289-a1f1-7d0ec04ebf58___GCREC_Bact.Sp 3555.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,10996,410.5987883263733,103.6527099609375,47.418060302734375
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/face0e7f-6173-456e-9ee5-973aedb41c3b___GCREC_Bact.Sp 3493.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13486,1163.102858543396,78.54714965820312,55.99641418457031
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/cdd6b4c8-6be0-4cc8-81a7-4e0c5ba16fed___GCREC_Bact.Sp 5982.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14722,1565.935267487308,65.7333984375,64.11563110351562
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/f2ea99a2-3e21-45ff-adf0-b7cfdd955d68___GCREC_Bact.Sp 5959.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12800,932.445730432868,68.25938415527344,59.933990478515625
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/db6177ef-cf23-402a-ac95-f8c136c6385d___GCREC_Bact.Sp 3135.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12882,888.3590878099203,110.28318786621094,47.417816162109375
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/bea776af-8c63-4376-a7f2-7cbd0e15e743___GCREC_Bact.Sp 3631.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13063,1121.8146947473288,109.52912902832031,53.87255859375
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/dc865b07-0701-4ddd-be52-cc75f80d0ada___UF.GRC_BS_Lab Leaf 0683.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,11300,508.36818648851477,54.96113586425781,59.34782409667969
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/dbec23bb-922a-49cd-b222-825ee95edcee___GCREC_Bact.Sp 3834.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,16443,2427.408536490053,95.68617248535156,60.34431457519531
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/71206367-de88-4a81-a1e8-c11b27c4e8de___UF.GRC_BS_Lab Leaf 9272.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,10336,355.9133830582723,82.99320983886719,43.58488464355469
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/c515ab18-07a3-4bdd-a5b6-140d65a185c4___GCREC_Bact.Sp 5674.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13415,1205.962981841527,57.606597900390625,60.6634521484375
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ce71eb1e-cf9d-465b-adc2-15eb07c9e687___GCREC_Bact.Sp 3394.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13543,1222.2307682596147,98.21714782714844,46.0909423828125
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/f2be2ee6-efba-4854-89b1-32eb0e7e6974___GCREC_Bact.Sp 5993.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13727,1275.0889261288103,62.63958740234375,49.96781921386719
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/1eca836c-208e-40a8-a69c-fb7232d92368___GCREC_Bact.Sp 6110.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,14422,1616.0890799155459,74.95317077636719,57.5712890625
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/ae471cad-5e5b-4325-a831-bdfe5c005cab___GCREC_Bact.Sp 6323.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13918,1408.2767319530249,71.96998596191406,48.29981994628906
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/81349fa9-f5ca-449c-8f10-47788ed939a4___GCREC_Bact.Sp 6153.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,13408,1161.2425055520143,82.07595825195312,41.597442626953125
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/01d9fc8d-5083-468d-a583-885f33517cdd___GCREC_Bact.Sp 3422.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,9836,262.46323865442537,88.59376525878906,54.801727294921875
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/f0765e3f-e21f-4b0f-ae02-0ac9de9cfb0e___GCREC_Bact.Sp 3825.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,10780,415.15635514608584,111.09956359863281,54.63331604003906
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/86501b42-94c0-4f0c-98de-f6a0364a5bf2___GCREC_Bact.Sp 6220.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,15726,2485.69341372489,86.19792175292969,52.35200500488281
/home/claude/tomate_raw/inner/Dataset/train/Tomato___Bacterial_spot/1b3ccbf3-c1e1-476e-b34a-6af0a6fbb349___GCREC_Bact.Sp 3735.JPG,train,Tomato___Bacterial_spot,Mancha bacteriana,12987,1441.1312249368057,87.87251281738281,71.32548522949219
